,Name,Department,EOW,Cause of Death,Date,Year,Canine,Department Name,State
14,Customs Inspector John Stout,"United States Department of the Treasury - Customs Service, US","Friday, January 21, 1814",Gunfire,1814-01-21,1814,False,United States Department of the Treasury - Customs Service, US
15,Sheriff John Coor Pender,"Wayne County Sheriff's Office, NC","Monday, January 1, 1816",Gunfire,1816-01-01,1816,False,Wayne County Sheriff's Office, NC
16,Sheriff Caleb Hewitt,"Davidson County Sheriff's Office, TN","Monday, September 9, 1816",Assault,1816-09-09,1816,False,Davidson County Sheriff's Office, TN
17,Deputy Sheriff William Huddleston,"Schoharie County Sheriff's Department, NY","Friday, October 9, 1818",Assault,1818-10-09,1818,False,Schoharie County Sheriff's Department, NY
18,"Constable Jacob Dearduff, Sr.","Jamestown Police Department, OH","Saturday, February 22, 1823",Stabbed,1823-02-22,1823,False,Jamestown Police Department, OH
19,Constable Elijah Chenault,"Alexandria Police Department, VA","Monday, August 4, 1823",Assault,1823-08-04,1823,False,Alexandria Police Department, VA
20,Constable Robert Murphy,"Franklin County Sheriff's Department, IN","Thursday, November 11, 1824",Stabbed,1824-11-11,1824,False,Franklin County Sheriff's Department, IN
21,Constable William Davidson,"Pennsylvania State Constable - Venango County, PA","Thursday, April 14, 1825",Gunfire,1825-04-14,1825,False,Pennsylvania State Constable - Venango County, PA
22,Watch Officer Jonathan Houghton,"Boston Watch, MA","Monday, December 19, 1825",Assault,1825-12-19,1825,False,Boston Watch, MA
23,Watchman Gerrard Arnold,"Alexandria Police Department, VA","Sunday, September 9, 1827",Assault,1827-09-09,1827,False,Alexandria Police Department, VA
24,Watchman Steven Heimer,"Philadelphia Police Department, PA","Tuesday, January 8, 1828",Gunfire,1828-01-08,1828,False,Philadelphia Police Department, PA
25,Sheriff Thomas Griffin Thornton,"Caroline County Sheriff's Office, VA","Saturday, June 12, 1830",Gunfire,1830-06-12,1830,False,Caroline County Sheriff's Office, VA
26,Town Sergeant John Smith,"Foster Police Department, RI","Thursday, June 21, 1832",Assault,1832-06-21,1832,False,Foster Police Department, RI
27,Guard Ezra Hoskins,"Connecticut Department of Correction, CT","Wednesday, May 1, 1833",Assault,1833-05-01,1833,False,Connecticut Department of Correction, CT
28,Sheriff William Gresham,"Harrison County Sheriff's Department, IN","Thursday, January 23, 1834",Stabbed,1834-01-23,1834,False,Harrison County Sheriff's Department, IN
29,Constable Moore C. Wisdom,"Purdy Constable's Office, TN","Saturday, August 30, 1834",Stabbed,1834-08-30,1834,False,Purdy Constable's Office, TN
30,Watchman Lewis L. Leuba,"New York City Watch, NY","Wednesday, April 13, 1836",Stabbed,1836-04-13,1836,False,New York City Watch, NY
31,Constable William Mull,"St. Louis Metropolitan Police Department, MO","Thursday, April 28, 1836",Stabbed,1836-04-28,1836,False,St. Louis Metropolitan Police Department, MO
32,Deputy Sheriff George Hammond,"St. Louis Metropolitan Police Department, MO","Thursday, April 28, 1836",Stabbed,1836-04-28,1836,False,St. Louis Metropolitan Police Department, MO
33,Watchman Kim Hudson,"New York City Watch, NY","Sunday, August 28, 1836",Stabbed,1836-08-28,1836,False,New York City Watch, NY
34,Private David Clark,"Texas Rangers, TX","Saturday, January 7, 1837",Gunfire,1837-01-07,1837,False,Texas Rangers, TX
35,Second Lieutenant Alfred H. Miles,"Texas Rangers, TX","Friday, November 10, 1837",Assault,1837-11-10,1837,False,Texas Rangers, TX
36,Private Jesse Blair,"Texas Rangers, TX","Friday, November 10, 1837",Assault,1837-11-10,1837,False,Texas Rangers, TX
37,Private Alexander Bostwick,"Texas Rangers, TX","Friday, November 10, 1837",Gunfire,1837-11-10,1837,False,Texas Rangers, TX
38,Private James Christian,"Texas Rangers, TX","Friday, November 10, 1837",Assault,1837-11-10,1837,False,Texas Rangers, TX
39,Private Joseph Cooper,"Texas Rangers, TX","Friday, November 10, 1837",Gunfire,1837-11-10,1837,False,Texas Rangers, TX
40,Private James Joslen,"Texas Rangers, TX","Friday, November 10, 1837",Assault,1837-11-10,1837,False,Texas Rangers, TX
41,Private Westley Nicholson,"Texas Rangers, TX","Friday, November 10, 1837",Assault,1837-11-10,1837,False,Texas Rangers, TX
42,Private William Nicholson,"Texas Rangers, TX","Friday, November 10, 1837",Gunfire,1837-11-10,1837,False,Texas Rangers, TX
43,Private William Sanders,"Texas Rangers, TX","Friday, November 10, 1837",Gunfire,1837-11-10,1837,False,Texas Rangers, TX
44,Private Lewis F. Scheuster,"Texas Rangers, TX","Friday, November 10, 1837",Assault,1837-11-10,1837,False,Texas Rangers, TX
45,Deputy Sheriff Nester Young,"Ashtabula County Sheriff's Department, OH","Monday, January 15, 1838",Gunfire,1838-01-15,1838,False,Ashtabula County Sheriff's Department, OH
46,Private Julius Bullock,"Texas Rangers, TX","Friday, October 12, 1838",Assault,1838-10-12,1838,False,Texas Rangers, TX
47,Private John W. Carpenter,"Texas Rangers, TX","Friday, October 12, 1838",Assault,1838-10-12,1838,False,Texas Rangers, TX
48,Private Thomas M. Scott,"Texas Rangers, TX","Friday, October 12, 1838",Assault,1838-10-12,1838,False,Texas Rangers, TX
49,Private John Wilson,"Texas Rangers, TX","Friday, October 12, 1838",Assault,1838-10-12,1838,False,Texas Rangers, TX
50,Private James Hall,"Texas Rangers, TX","Monday, December 17, 1838",Assault,1838-12-17,1838,False,Texas Rangers, TX
51,Deputy U.S. Marshal John Gatewood,"United States Department of Justice - United States Marshals Service, US","Saturday, February 2, 1839",Gunfire,1839-02-02,1839,False,United States Department of Justice - United States Marshals Service, US
52,Captain Jacob Shipman Burleson,"Texas Rangers, TX","Monday, February 25, 1839",Gunfire,1839-02-25,1839,False,Texas Rangers, TX
53,Private Edward Blakey,"Texas Rangers, TX","Monday, February 25, 1839",Gunfire,1839-02-25,1839,False,Texas Rangers, TX
54,Private John B. Walters,"Texas Rangers, TX","Monday, February 25, 1839",Gunfire,1839-02-25,1839,False,Texas Rangers, TX
55,Private James Gilleland,"Texas Rangers, TX","Thursday, March 7, 1839",Gunfire,1839-03-07,1839,False,Texas Rangers, TX
56,Captain John Bird,"Texas Rangers, TX","Sunday, May 26, 1839",Assault,1839-05-26,1839,False,Texas Rangers, TX
57,First Sergeant William H. Weaver,"Texas Rangers, TX","Sunday, May 26, 1839",Gunfire,1839-05-26,1839,False,Texas Rangers, TX
58,Private Jesse E. Nash,"Texas Rangers, TX","Sunday, May 26, 1839",Assault,1839-05-26,1839,False,Texas Rangers, TX
59,Private Thomas Gay,"Texas Rangers, TX","Sunday, May 26, 1839",Gunfire,1839-05-26,1839,False,Texas Rangers, TX
60,Private H. M. C. Hall,"Texas Rangers, TX","Monday, May 27, 1839",Gunfire,1839-05-27,1839,False,Texas Rangers, TX
61,Watchman James P. Van Duzen,"New York City Watch, NY","Tuesday, June 25, 1839",Fall,1839-06-25,1839,False,New York City Watch, NY
62,Sheriff Joseph L. Hood,"Bexar County Sheriff's Office, TX","Thursday, March 19, 1840",Stabbed,1840-03-19,1840,False,Bexar County Sheriff's Office, TX
63,Town Marshal John Yeomans,"Jacksonville Police Department, FL","Sunday, May 24, 1840",Gunfire,1840-05-24,1840,False,Jacksonville Police Department, FL
64,Sheriff John B. Campbell,"Harrison County Sheriff's Office, TX","Saturday, January 23, 1841",Gunfire,1841-01-23,1841,False,Harrison County Sheriff's Office, TX
65,Guard Cyrus Sells,"Ohio Department of Rehabilitation and Correction, OH","Wednesday, June 9, 1841",Assault,1841-06-09,1841,False,Ohio Department of Rehabilitation and Correction, OH
66,Prison Guard William Bullard,"Missouri Department of Corrections, MO","Monday, June 14, 1841",Assault,1841-06-14,1841,False,Missouri Department of Corrections, MO
67,Private Abram Trigg Smith,"Texas Rangers, TX","Thursday, August 5, 1841",Gunfire,1841-08-05,1841,False,Texas Rangers, TX
68,Sheriff Thomas Wooldridge,"Dubois County Sheriff's Department, IN","Thursday, May 19, 1842",Gunfire,1842-05-19,1842,False,Dubois County Sheriff's Department, IN
69,"Warden Charles Lincoln, Jr.","Massachusetts Department of Correction, MA","Sunday, June 18, 1843",Stabbed,1843-06-18,1843,False,Massachusetts Department of Correction, MA
70,Sheriff Samuel B. Wingo,"Shannon County Sheriff's Department, MO","Thursday, August 31, 1843",Gunfire,1843-08-31,1843,False,Shannon County Sheriff's Department, MO
71,Sheriff George Lee Phillips,"Ashe County Sheriff's Office, NC","Saturday, September 23, 1843",Drowned,1843-09-23,1843,False,Ashe County Sheriff's Office, NC
72,Sheriff Robert D. Lester,"Crawford County Sheriff's Department, WI","Thursday, March 21, 1844",Gunfire,1844-03-21,1844,False,Crawford County Sheriff's Department, WI
73,Sheriff Lewis Williams,"Jackson County Sheriff's Department, FL","Friday, April 26, 1844",Gunfire,1844-04-26,1844,False,Jackson County Sheriff's Department, FL
74,Private Peter Fohr,"Texas Rangers, TX","Saturday, June 8, 1844",Assault,1844-06-08,1844,False,Texas Rangers, TX
75,Keeper James Gastin,"Pennsylvania Department of Corrections, PA","Thursday, October 31, 1844",Assault,1844-10-31,1844,False,Pennsylvania Department of Corrections, PA
76,Undersheriff Osman N. Steele,"Delaware County Sheriff's Office, NY","Thursday, August 7, 1845",Gunfire,1845-08-07,1845,False,Delaware County Sheriff's Office, NY
77,Constable John Holton,"Augusta Police Department, KY","Monday, November 24, 1845",Stabbed,1845-11-24,1845,False,Augusta Police Department, KY
78,Sheriff Lansford Stallings,"Cherokee County Sheriff's Office, AL","Thursday, December 4, 1845",Gunfire,1845-12-04,1845,False,Cherokee County Sheriff's Office, AL
79,Lieutenant John M. Brown,"Cherokee Nation Marshal Service, TR","Sunday, December 28, 1845",Stabbed,1845-12-28,1845,False,Cherokee Nation Marshal Service, TR
80,Sheriff Samuel Grimmett,"Montgomery County Sheriff's Office, TX","Sunday, April 11, 1847",Gunfire,1847-04-11,1847,False,Montgomery County Sheriff's Office, TX
81,Deputy Sheriff William Armstrong,"Hampshire County Sheriff's Office, VA","Friday, June 25, 1847",Gunfire,1847-06-25,1847,False,Hampshire County Sheriff's Office, VA
82,Sheriff Enoch B. Morelock,"Sullivan County Sheriff's Office, MO","Sunday, December 19, 1847",Gunfire,1847-12-19,1847,False,Sullivan County Sheriff's Office, MO
83,Watchman David Estes,"Boston Watch, MA","Thursday, April 27, 1848",Gunfire,1848-04-27,1848,False,Boston Watch, MA
84,Watchman John Brasher,"Cincinnati Police Department, OH","Sunday, May 6, 1849",Gunfire,1849-05-06,1849,False,Cincinnati Police Department, OH
85,Watchman Peter Davison,"Cincinnati Police Department, OH","Monday, June 25, 1849",Stabbed,1849-06-25,1849,False,Cincinnati Police Department, OH
86,Patrolman Thomas Lynch,"New York Municipal Police Force, NY","Thursday, September 27, 1849",Assault,1849-09-27,1849,False,New York Municipal Police Force, NY
87,Patrolman William Helms,"New York Municipal Police Force, NY","Tuesday, October 16, 1849",Structure collapse,1849-10-16,1849,False,New York Municipal Police Force, NY
88,Major Charles Grandison Bryant,"Texas Rangers, TX","Saturday, January 12, 1850",Assault,1850-01-12,1850,False,Texas Rangers, TX
89,Police Officer Ephraim Hibler,"St. Louis Metropolitan Police Department, MO","Sunday, May 26, 1850",Gunfire,1850-05-26,1850,False,St. Louis Metropolitan Police Department, MO
90,Private William Gillespie,"Texas Rangers, TX","Wednesday, May 29, 1850",Assault,1850-05-29,1850,False,Texas Rangers, TX
91,Sheriff Joseph McKinney,"Sacramento County Sheriff's Department, CA","Thursday, August 15, 1850",Gunfire,1850-08-15,1850,False,Sacramento County Sheriff's Department, CA
92,Private John Lemon Wilbarger,"Texas Rangers, TX","Tuesday, August 20, 1850",Gunfire,1850-08-20,1850,False,Texas Rangers, TX
93,"Private Daniel C. ""Doc"" Sullivan","Texas Rangers, TX","Tuesday, August 20, 1850",Gunfire,1850-08-20,1850,False,Texas Rangers, TX
94,Private Samuel Baker Barton,"Texas Rangers, TX","Monday, January 27, 1851",Assault,1851-01-27,1851,False,Texas Rangers, TX
95,Private William Lackey,"Texas Rangers, TX","Monday, February 3, 1851",Assault,1851-02-03,1851,False,Texas Rangers, TX
96,Patrolman George T. Gillespie,"New York Municipal Police Force, NY","Thursday, July 10, 1851",Assault,1851-07-10,1851,False,New York Municipal Police Force, NY
97,Sergeant Michael Foster,"New York Municipal Police Force, NY","Monday, August 4, 1851",Stabbed,1851-08-04,1851,False,New York Municipal Police Force, NY
98,Posseman Edward Gorsuch,"United States Department of Justice - United States Marshals Service, US","Thursday, September 11, 1851",Gunfire,1851-09-11,1851,False,United States Department of Justice - United States Marshals Service, US
99,Deputy Sheriff David Neil,"Smith County Sheriff's Office, TX","Saturday, September 27, 1851",Gunfire,1851-09-27,1851,False,Smith County Sheriff's Office, TX
100,Deputy Sheriff James Holden,"Smith County Sheriff's Office, TX","Saturday, September 27, 1851",Gunfire,1851-09-27,1851,False,Smith County Sheriff's Office, TX
101,Night Policeman William Baker,"Philadelphia Police Department, PA","Friday, December 26, 1851",Fire,1851-12-26,1851,False,Philadelphia Police Department, PA
102,Captain Chin Chi Kee,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","Saturday, January 10, 1852",Gunfire,1852-01-10,1852,False,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
103,Sheriff James Preston Fulkerson,"Calhoun County Sheriff's Office, TX","Sunday, April 4, 1852",Gunfire,1852-04-04,1852,False,Calhoun County Sheriff's Office, TX
104,Deputy Sheriff Moses Formwalt,"DeKalb County Sheriff's Office, GA","Saturday, May 1, 1852",Stabbed,1852-05-01,1852,False,DeKalb County Sheriff's Office, GA
105,Watchman William T. Pullan,"Providence City Watch, RI","Tuesday, May 18, 1852",Assault,1852-05-18,1852,False,Providence City Watch, RI
106,Constable Gideon Manchester,"Fall River Police Department, MA","Friday, July 16, 1852",Gunfire,1852-07-16,1852,False,Fall River Police Department, MA
107,Watchman Joseph Stoddard,"Cincinnati Police Department, OH","Friday, September 10, 1852",Stabbed,1852-09-10,1852,False,Cincinnati Police Department, OH
108,Deputy Sheriff Wesley F. Cherry,"King County Sheriff's Office, WA","Sunday, March 6, 1853",Gunfire,1853-03-06,1853,False,King County Sheriff's Office, WA
109,Night Watchman Samuel H. Ferguson,"Pittsburgh Night Watch, PA","Thursday, April 21, 1853",Stabbed,1853-04-21,1853,False,Pittsburgh Night Watch, PA
110,Deputy Sheriff Rodney Badger,"Salt Lake County Sheriff's Office, UT","Friday, April 29, 1853",Drowned,1853-04-29,1853,False,Salt Lake County Sheriff's Office, UT
111,Shadow George Trenchard,"New York Municipal Police Force, NY","Thursday, June 2, 1853",Fire,1853-06-02,1853,False,New York Municipal Police Force, NY
112,Watchman John Osborne,"Cleveland Police Department, OH","Thursday, December 1, 1853",Stabbed,1853-12-01,1853,False,Cleveland Police Department, OH
113,Constable James Quinn,"Chicago Police Department, IL","Monday, December 5, 1853",Assault,1853-12-05,1853,False,Chicago Police Department, IL
114,Constable Jack Wheelan,"Los Angeles County Constable's Office, CA","Wednesday, December 7, 1853",Stabbed,1853-12-07,1853,False,Los Angeles County Constable's Office, CA
115,Police Officer George R. Turner,"Stockton Police Department, CA","Friday, April 14, 1854",Gunfire,1854-04-14,1854,False,Stockton Police Department, CA
116,Officer Cyrus Beebe,"Columbus Division of Police, OH","Thursday, April 27, 1854",Gunfire,1854-04-27,1854,False,Columbus Division of Police, OH
117,Deputy U.S. Marshal James Batchelder,"United States Department of Justice - United States Marshals Service, US","Friday, May 26, 1854",Gunfire,1854-05-26,1854,False,United States Department of Justice - United States Marshals Service, US
118,Constable William H. Hardmount,"Monterey County Constable's Office, CA","Saturday, September 2, 1854",Gunfire,1854-09-02,1854,False,Monterey County Constable's Office, CA
119,Patrolman Casper Lauer,"Chicago Police Department, IL","Monday, September 18, 1854",Stabbed,1854-09-18,1854,False,Chicago Police Department, IL
120,Patrolman James Cahill,"New York Municipal Police Force, NY","Friday, September 29, 1854",Gunfire,1854-09-29,1854,False,New York Municipal Police Force, NY
121,Police Officer Maxwell Badgley,"Newark Police Department, NJ","Monday, October 23, 1854",Stabbed,1854-10-23,1854,False,Newark Police Department, NJ
122,Patrolman David Gourley,"New York Municipal Police Force, NY","Sunday, November 5, 1854",Stabbed,1854-11-05,1854,False,New York Municipal Police Force, NY
123,Deputy Sheriff William Harrison Reams,"Laurel County Sheriff's Department, KY","Friday, November 24, 1854",Stabbed,1854-11-24,1854,False,Laurel County Sheriff's Department, KY
124,Policeman John Sheldon,"Sonora Police Department, CA","Sunday, April 29, 1855",Stabbed,1855-04-29,1855,False,Sonora Police Department, CA
125,Sheriff William A. Phoenix,"Amador County Sheriff's Department, CA","Sunday, August 12, 1855",Gunfire,1855-08-12,1855,False,Amador County Sheriff's Department, CA
126,Indian Agent Andrew J. Bolon,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","Tuesday, September 25, 1855",Stabbed,1855-09-25,1855,False,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
127,Private William H. Clopton,"Texas Rangers, TX","Wednesday, October 3, 1855",Gunfire,1855-10-03,1855,False,Texas Rangers, TX
128,Private Willis E. Jones,"Texas Rangers, TX","Wednesday, October 3, 1855",Gunfire,1855-10-03,1855,False,Texas Rangers, TX
129,Private H. K. Holland,"Texas Rangers, TX","Wednesday, October 3, 1855",Gunfire,1855-10-03,1855,False,Texas Rangers, TX
130,Private Augustus Smith,"Texas Rangers, TX","Wednesday, October 3, 1855",Gunfire,1855-10-03,1855,False,Texas Rangers, TX
131,Deputy Sheriff Charles Layton,"Monterey County Sheriff's Department, CA","Saturday, November 10, 1855",Gunfire,1855-11-10,1855,False,Monterey County Sheriff's Department, CA
132,Deputy Sheriff Joaquin De La Torre,"Monterey County Sheriff's Department, CA","Saturday, November 10, 1855",Gunfire,1855-11-10,1855,False,Monterey County Sheriff's Department, CA
133,Deputy Sheriff Jim Beckwith,"Monterey County Sheriff's Department, CA","Saturday, November 10, 1855",Gunfire,1855-11-10,1855,False,Monterey County Sheriff's Department, CA
134,Marshal William H. Richardson,"United States Department of Justice - United States Marshals Service, US","Saturday, November 17, 1855",Gunfire,1855-11-17,1855,False,United States Department of Justice - United States Marshals Service, US
135,Night Watchman Thomas Cummins,"New Haven Police Department, CT","Saturday, November 24, 1855",Assault,1855-11-24,1855,False,New Haven Police Department, CT
136,Marshal Eli R. Doyle,"United States Department of Justice - United States Marshals Service, US","Thursday, December 27, 1855",Fall,1855-12-27,1855,False,United States Department of Justice - United States Marshals Service, US
137,Police Officer Alexander Algeo,"New Orleans Police Department, LA","Wednesday, March 26, 1856",Gunfire,1856-03-26,1856,False,New Orleans Police Department, LA
138,Lieutenant Levi Parker,"Cincinnati Police Department, OH","Sunday, May 4, 1856",Gunfire,1856-05-04,1856,False,Cincinnati Police Department, OH
139,Watchman Neil Mooney,"Philadelphia Police Department, PA","Sunday, May 25, 1856",Gunfire,1856-05-25,1856,False,Philadelphia Police Department, PA
140,City Marshal David Johnson,"Nevada City Police Department, CA","Monday, November 3, 1856",Gunfire,1856-11-03,1856,False,Nevada City Police Department, CA
141,Sheriff W. W. Wright,"Nevada County Sheriff's Office, CA","Monday, November 3, 1856",Gunfire,1856-11-03,1856,False,Nevada County Sheriff's Office, CA
142,Sheriff John F. Taylor,"Winnebago County Sheriff's Office, IL","Tuesday, November 11, 1856",Gunfire,1856-11-11,1856,False,Winnebago County Sheriff's Office, IL
143,Night Watchman John Omayer,"Baltimore City Police Department, MD","Thursday, November 13, 1856",Gunfire (Accidental),1856-11-13,1856,False,Baltimore City Police Department, MD
144,Police Officer William I. Van Arsdale,"New Brunswick Police Department, NJ","Sunday, December 7, 1856",Drowned,1856-12-07,1856,False,New Brunswick Police Department, NJ
145,Deputy Warden Galen Carter Walker,"Massachusetts Department of Correction, MA","Monday, December 15, 1856",Stabbed,1856-12-15,1856,False,Massachusetts Department of Correction, MA
146,Warden Solon Tenney,"Massachusetts Department of Correction, MA","Monday, December 29, 1856",Stabbed,1856-12-29,1856,False,Massachusetts Department of Correction, MA
147,Sheriff James R. Barton,"Los Angeles County Sheriff's Department, CA","Friday, January 23, 1857",Gunfire,1857-01-23,1857,False,Los Angeles County Sheriff's Department, CA
148,Constable Charles K. Baker,"Los Angeles County Sheriff's Department, CA","Friday, January 23, 1857",Gunfire,1857-01-23,1857,False,Los Angeles County Sheriff's Department, CA
149,Deputy Charles T. Daly,"Los Angeles County Sheriff's Department, CA","Friday, January 23, 1857",Gunfire,1857-01-23,1857,False,Los Angeles County Sheriff's Department, CA
150,Constable William H. Little,"Los Angeles County Sheriff's Department, CA","Friday, January 23, 1857",Gunfire,1857-01-23,1857,False,Los Angeles County Sheriff's Department, CA
151,Sheriff James M. Land,"Estill County Sheriff's Department, KY","Sunday, March 22, 1857",Gunfire,1857-03-22,1857,False,Estill County Sheriff's Department, KY
152,Deputy Sheriff Jessie Arvin,"Estill County Sheriff's Department, KY","Sunday, March 22, 1857",Gunfire,1857-03-22,1857,False,Estill County Sheriff's Department, KY
153,Patrolman Stephen P. Hardenbrook,"New York Municipal Police Force, NY","Wednesday, April 15, 1857",Stabbed,1857-04-15,1857,False,New York Municipal Police Force, NY
154,Deputized Civilian William B.M. Barbee,"Burleson County Constable's Office - Precinct 3, TX","Sunday, May 24, 1857",Gunfire,1857-05-24,1857,False,Burleson County Constable's Office - Precinct 3, TX
155,Assistant City Marshal Frederick W. Fieldstrup,"San Antonio Police Department, TX","Friday, May 29, 1857",Gunfire,1857-05-29,1857,False,San Antonio Police Department, TX
156,Special Patrolman Thomas Sparks,"New York Metropolitan Police Force, NY","Thursday, July 9, 1857",Assault,1857-07-09,1857,False,New York Metropolitan Police Force, NY
157,Patrolman Eugene Anderson,"New York Metropolitan Police Force, NY","Monday, July 20, 1857",Gunfire,1857-07-20,1857,False,New York Metropolitan Police Force, NY
158,Sergeant William Jourdan,"Baltimore City Police Department, MD","Wednesday, October 14, 1857",Gunfire,1857-10-14,1857,False,Baltimore City Police Department, MD
159,Patrolman Ezekiel Wentworth Hodsdon,"Boston Police Department, MA","Sunday, October 18, 1857",Gunfire,1857-10-18,1857,False,Boston Police Department, MA
160,Patrolman Horatio Sanger,"New York Metropolitan Police Force, NY","Sunday, November 22, 1857",Assault,1857-11-22,1857,False,New York Metropolitan Police Force, NY
161,Sheriff William C. Getman,"Los Angeles County Sheriff's Department, CA","Thursday, January 7, 1858",Gunfire,1858-01-07,1858,False,Los Angeles County Sheriff's Department, CA
162,Sheriff Samuel Lee Lockhart,"Llano County Sheriff's Office, TX","Saturday, January 9, 1858",Stabbed,1858-01-09,1858,False,Llano County Sheriff's Office, TX
163,Special Police Officer George C. Chapman,"Sacramento Police Department, CA","Tuesday, April 27, 1858",Gunfire,1858-04-27,1858,False,Sacramento Police Department, CA
164,Private William Earbee,"Texas Rangers, TX","Wednesday, May 5, 1858",Gunfire (Accidental),1858-05-05,1858,False,Texas Rangers, TX
165,Private Robert Nickles,"Texas Rangers, TX","Wednesday, May 12, 1858",Stabbed,1858-05-12,1858,False,Texas Rangers, TX
166,Private Waco Indian,"Texas Rangers, TX","Wednesday, May 12, 1858",Gunfire,1858-05-12,1858,False,Texas Rangers, TX
167,City Marshal Joseph Beard,"Lexington Police Department, KY","Saturday, July 10, 1858",Stabbed,1858-07-10,1858,False,Lexington Police Department, KY
168,Deputy Sheriff Travis Gibson,"Campbell County Sheriff's Office, TN","Tuesday, August 3, 1858",Stabbed,1858-08-03,1858,False,Campbell County Sheriff's Office, TN
169,Sheriff Sampson D. Queener,"Campbell County Sheriff's Office, TN","Tuesday, August 3, 1858",Stabbed,1858-08-03,1858,False,Campbell County Sheriff's Office, TN
170,Patrolman George Coulter,"Louisville Police Department, KY","Tuesday, August 17, 1858",Gunfire,1858-08-17,1858,False,Louisville Police Department, KY
171,Police Officer Benjamin Benton,"Baltimore City Police Department, MD","Wednesday, September 22, 1858",Gunfire,1858-09-22,1858,False,Baltimore City Police Department, MD
172,Police Officer William Cooke,"Salt Lake City Police Department, UT","Monday, October 18, 1858",Gunfire,1858-10-18,1858,False,Salt Lake City Police Department, UT
173,Police Officer Robert M. Rigdon,"Baltimore City Police Department, MD","Monday, November 8, 1858",Gunfire,1858-11-08,1858,False,Baltimore City Police Department, MD
174,Policeman Joel N. McDonald,"Columbia Police Department, CA","Friday, November 26, 1858",Gunfire,1858-11-26,1858,False,Columbia Police Department, CA
175,Constable John Leary,"Columbia Police Department, CA","Monday, November 29, 1858",Gunfire,1858-11-29,1858,False,Columbia Police Department, CA
176,Constable David Welch,"Henderson County Sheriff's Office, IL","Tuesday, January 11, 1859",Gunfire,1859-01-11,1859,False,Henderson County Sheriff's Office, IL
177,Deputy Sheriff George W. Martin,"Placer County Sheriff's Department, CA","Monday, July 11, 1859",Gunfire,1859-07-11,1859,False,Placer County Sheriff's Department, CA
178,Jailer Robert L. Johnson,"Cameron County Sheriff's Office, TX","Wednesday, September 28, 1859",Gunfire,1859-09-28,1859,False,Cameron County Sheriff's Office, TX
179,Constable George Morris,"Cameron County Constable's Office - Precinct 2, TX","Wednesday, September 28, 1859",Gunfire,1859-09-28,1859,False,Cameron County Constable's Office - Precinct 2, TX
180,Private John Fox,"Texas Rangers, TX","Wednesday, November 16, 1859",Gunfire,1859-11-16,1859,False,Texas Rangers, TX
181,Private Thomas Grier,"Texas Rangers, TX","Wednesday, November 16, 1859",Gunfire,1859-11-16,1859,False,Texas Rangers, TX
